File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\EventListView.js,103,99,52,1,4,3,0,3,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\ImageListView.js,29,27,16,1,2,1,0,1,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\Layout.js,98,95,43,3,3,1,0,1,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\Layout2.js,81,76,42,8,2,3,3,21,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\Layout3.js,110,109,83,10,1,2,0,2,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\MyEventAttendees.js,126,123,52,5,3,2,0,3,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\MyEventDetailView.js,405,402,180,13,3,9,0,12,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\MyEventDetailView2.js,184,183,96,10,1,5,0,8,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\MyEventListView.js,107,91,46,5,5,3,11,18,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\MyEventPayments.js,77,75,31,3,2,1,0,1,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\MyEventRegistrations.js,108,106,42,4,2,1,0,1,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\NotificationsListView.js,40,39,22,2,1,1,0,1,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\OverviewLayout.js,85,82,50,12,3,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\RegistrationDetailView.js,55,50,31,2,5,1,0,1,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\RegistrationListView.js,86,82,41,4,4,3,0,3,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\RequestListView.js,182,179,92,9,3,8,0,8,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\UpdateEvent.js,202,201,96,7,1,4,0,4,0,0
